                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2497,                0.77171,                 1.0261,                0.76382,                0.58772,                0.65865,                0.28473,                 2.0183,                 1.1579,                 1.4933,               0.003268,               0.003268,               0.003268
                     70,                 1.2148,                0.74571,                 1.0194,                0.75125,                0.61774,                0.66971,                0.27439,                 2.0167,                 1.0771,                 1.4754,               0.003169,               0.003169,               0.003169
                     71,                 1.2187,                0.75271,                  1.005,                0.75394,                0.60781,                0.63746,                0.25488,                 2.0152,                 1.1265,                 1.4969,                0.00307,                0.00307,                0.00307
                     72,                 1.1615,                0.69678,                 1.0069,                0.80505,                0.58571,                0.64354,                0.26448,                 1.9528,                 1.1318,                 1.4864,               0.002971,               0.002971,               0.002971
                     73,                  1.221,                0.75028,                 1.0093,                0.77277,                0.57698,                0.63264,                0.26413,                  1.912,                 1.1471,                 1.4493,               0.002872,               0.002872,               0.002872
                     74,                 1.1698,                0.71814,                 1.0027,                0.70863,                0.62953,                0.64792,                0.26896,                 1.9775,                 1.1721,                 1.4946,               0.002773,               0.002773,               0.002773
                     75,                 1.1359,                0.71336,                0.99107,                0.83152,                 0.5616,                0.64303,                0.26853,                  1.995,                 1.1735,                 1.4725,               0.002674,               0.002674,               0.002674
                     76,                 1.1535,                0.70682,                 1.0055,                0.70234,                0.68554,                0.66399,                0.27673,                 1.9693,                 1.1673,                 1.4636,               0.002575,               0.002575,               0.002575
                     77,                 1.1716,                 0.7238,                 1.0072,                0.74365,                0.67738,                0.67084,                0.27015,                 1.9514,                 1.1273,                 1.4721,               0.002476,               0.002476,               0.002476
                     78,                 1.1314,                0.68011,                 0.9902,                0.86925,                0.63973,                0.68192,                0.27667,                 1.9556,                 1.1458,                 1.4672,               0.002377,               0.002377,               0.002377
                     79,                 1.1635,                0.70667,                  1.001,                0.80193,                0.62905,                0.68851,                0.28596,                 2.0135,                 1.1679,                  1.492,               0.002278,               0.002278,               0.002278
                     80,                 1.1386,                0.70757,                 1.0093,                0.78063,                0.62313,                0.68234,                0.28132,                 1.9988,                 1.1715,                 1.4953,               0.002179,               0.002179,               0.002179
                     81,                 1.1629,                0.72083,                 1.0055,                0.77224,                0.66317,                0.67312,                0.27821,                 1.9956,                 1.1366,                 1.5001,                0.00208,                0.00208,                0.00208
                     82,                 1.1168,                0.68875,                0.98005,                 0.8049,                 0.6404,                0.66199,                0.26949,                 1.9885,                 1.1715,                 1.4917,               0.001981,               0.001981,               0.001981
                     83,                 1.1231,                0.69449,                0.98662,                0.79137,                0.61966,                0.67258,                0.27788,                 2.0143,                 1.1493,                 1.5136,               0.001882,               0.001882,               0.001882
                     84,                 1.1068,                0.67159,                0.99127,                0.81252,                 0.6282,                0.66041,                0.26636,                 2.0301,                 1.1396,                 1.5216,               0.001783,               0.001783,               0.001783
                     85,                 1.1044,                0.67903,                0.98007,                0.81363,                 0.6282,                0.66846,                0.28116,                 2.0144,                 1.1421,                 1.5311,               0.001684,               0.001684,               0.001684
                     86,                  1.108,                0.67622,                 0.9887,                 0.8358,                0.63973,                0.67822,                0.26959,                 2.0341,                 1.1784,                 1.5001,               0.001585,               0.001585,               0.001585
                     87,                 1.0579,                0.66987,                0.98114,                0.75643,                0.66317,                0.67957,                0.26352,                 2.0135,                 1.1467,                 1.4943,               0.001486,               0.001486,               0.001486
